nuclei,fov,original_nuclei,n_pairs,DonorFile,AcceptorFile,FretFile,X_A,Y_A,Z_A,X_D,Y_D,Z_D,Fret,Acceptor,Donor,Pair,dlamin_A,dlamin_D
59,5,5,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,806,441,26,803,443,28,2741,6198,9078,1,11.4017543792725,11.4017543792725
59,5,5,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,849,367,33,847,364,31,2184,2414,4344,2,15.5563488006592,15.5563488006592
61,5,7,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,429,520,28,425,518,26,2826,4516,13115,1,13.6014709472656,13.6014709472656
61,5,7,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,409,453,26,409,458,24,2427,2867,3828,2,43.8406219482422,43.8406219482422
62,5,8,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,273,472,34,270,472,34,3314,10056,10553,1,7.21110248565674,7.21110248565674
62,5,8,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,281,519,29,277,516,27,2743,3178,6708,2,23.8537216186523,23.8537216186523
63,5,9,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,623,569,30,622,566,32,2624,5995,3693,1,4.4721360206604,4.4721360206604
63,5,9,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,681,505,27,681,511,27,3312,13313,3695,2,11.1803398132324,11.1803398132324
64,5,10,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,925,649,29,921,651,27,2508,2864,13076,1,5.83095169067383,5.83095169067383
64,5,10,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,860,657,30,855,661,29,2412,2649,5230,2,21.9544982910156,21.9544982910156
65,5,11,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,528,702,26,526,702,26,4711,22973,26607,1,17,17
65,5,11,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,469,660,32,468,664,34,2750,7759,4020,2,11,11
66,5,12,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,301,681,26,298,682,27,2969,7904,8503,1,25.9615097045898,25.9615097045898
66,5,12,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,254,696,25,255,691,27,2177,2440,3289,2,14.5602197647095,14.5602197647095
67,5,13,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,378,803,31,379,805,29,2778,5732,8509,1,35.7351379394531,35.7351379394531
67,5,13,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,348,852,27,348,847,25,3871,12210,6109,2,13.6014709472656,13.6014709472656
68,5,14,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,235,769,28,234,774,29,2663,7219,6831,1,12.0830459594727,12.0830459594727
68,5,14,2,/Volumes/projects/FRET-FISH/iAM592/a488_005.tif,/Volumes/projects/FRET-FISH/iAM592/a594_005.tif,/Volumes/projects/FRET-FISH/iAM592/a488fret_005.tif,251,803,40,252,803,37,2699,3172,9590,2,39.217342376709,39.217342376709
